river,X.outlet,Y.outlet,EPSG,X.min,X.max,Y.min,Y.max,z,thrA,Q.outlet,w.outlet
Sydenham,2970788,8827521,3085,2960831,3039079,8817103,8907142,10,1.00E+06,34.4,60
Koide,1402942,1143218,6684,1402699,1407461,1142792,1155735,10,1.00E+05,1,15
