"Family","A07.1","A07.3","A07.4","A08.1","A08.2","A08.4","A29.1","A29.2","A29.3","B09.1","B09.2","B09.3","B18.2","B18.3","B18.4","B19.2","B19.3","B19.4","B33.1","B33.2","B33.3","B34.2","B34.3","B34.4","B37.1","B37.2","B37.3","B43.2","B43.3","B43.4","B56.1","B56.2","B56.4","C13.1","C13.3","C13.4","E11.1","E11.3","E11.4","E41.1","E41.2","E41.3","G01.1","G01.2","G01.3","G17.1","G17.2","G17.3","G23.2","G23.3","G23.4","G39.1","G39.3","G39.4","G48.1","G48.2","G48.4","H27.3","H28.1","H28.2","H28.4","H30.2","H30.3","H30.4","H44.1","H44.2","H44.4","L10.2","L10.3","L10.4","L27.1","L27.4","L55.1","L55.3","L55.4","M20.1","M20.2","M20.4","M22.2","M22.3","M22.4","M32.1","M32.2","M32.4","N02.2","N02.3","N02.4","N35.1","N35.3","N35.4","N51.1","N51.3","N51.4","O14.1","O14.2","O14.4","O21.1","O21.2","O21.4","O53.1","O53.2","O53.3","P40.1","P40.2","P40.4","R06.2","R06.3","R06.4","R12.1","R12.2","R12.4","R15.1","R15.2","R15.3","R16.1","R16.2","R16.4","R36.1","R36.2","R36.4","R49.1","R49.2","R49.3","R54.2","R54.3","R54.4","S03.1","S03.3","S03.4","S05.1","S05.2","S05.3","S42.2","S42.3","S42.4","S47.1","S47.3","S47.4","S50.2","S50.3","S50.4","S57.1","S57.2","S57.3","S58.2","S58.3","S58.4","S60.1","S60.2","S60.4","S61.1","S61.2","S61.3","T04.2","T04.3","T04.4","T62.2","T62.3","T62.4","V26.2","V26.3","V26.4","V26.5","V45.1","V45.2","V45.3","W25.1","W25.2","W25.3","W31.1","W31.3","W31.4","W46.2","W46.3","W46.4","W59.1","W59.3","W59.4","Z24.1","Z24.2","Z24.4","Z52.1","Z52.2","Z52.4"
"Ephemeridae",0,0,0,9,23,0,0,0,0,23,23,95,0,0,0,3,76,10,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,239,511,313,0,0,0,0,0,0,270,361,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,388,3201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,1,1,0,8,0,0,0,9,4,254,1,2,0,0,0,0,0,0,0,1,24,0,1,0,2,10,3,0,0,0,0,0,0,0,2,60,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,1314,1592,0,0,0,0,0,0,0,0,0,0,31,59,26,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erpobdellidae",0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossosomatidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,464,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heptageniidae",401,2963,2034,0,0,0,3581,645,1080,0,0,0,0,0,0,37,458,92,1021,5786,1642,82,408,1,811,189,148,28,89,30,15,16,57,57,9,0,0,0,0,0,0,0,0,0,0,95,25,35,1,0,1,174,279,803,720,157,2689,228,208,132,279,663,145,329,801,10,248,631,510,848,196,49,7059,10700,2651,252,10,0,2497,6641,5008,110973,153,2,3,3,0,5308,2606,2963,37892,30570,10450,1,49,659,1,17,0,8,9,728,725,351,856,0,0,0,2139,683,571,0,0,0,1,0,1,2186,1781,860,1913,491,611,3148,2280,2713,3725,6172,3370,407,297,351,11,218,7,1183,611,38,3387,3226,12222,1588,2687,813,6,274,55,1514,3165,9517,1,7,2,0,0,0,55,5,3,0,8,21,5,806,357,4725,475,1279,230,1499,1841,1633,3996,1190,742,7,2,8,52,22,0,741,559,196
"Hydraenidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,12,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,46,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrophilidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,392,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,138,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydropsychidae",38,3,66,0,0,0,221,205,122,62,247,248,2,20,14,0,0,0,40,103,36,14,91,157,0,3,15,35,81,122,0,0,0,617,465,287,74,38,20,0,0,0,0,0,0,31,21,18,237,637,0,29,1,0,4,4,140,295,1154,756,208,104,12,174,0,0,0,233,55,156,94,7532,0,0,0,202,169,18,3,258,101,0,0,0,1,11,0,323,1180,328,0,0,0,0,0,0,61,59,291,0,0,0,161,107,160,1,100,2,126,37,75,0,0,0,0,0,0,1390,431,3265,1080,887,835,0,134,36,267,307,235,121,17,31,81,210,39,0,2,13,152,243,214,0,0,0,0,0,0,15,150,730,0,0,0,0,0,0,254,20,72,0,0,0,0,1,0,3,2403,963,2429,475,1109,994,163,2,27,0,0,0,438,126,482,1,180,0
"Hydroptilidae",0,0,0,0,0,0,67,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,153,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,30,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0
"Lepidoptera",0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0,16,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,139,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,111,1107,0,0,0,0,0,0,0,11,1,2,0,0,0,27,2,2,76,0,206,0,0,0,148,220,118,0,0,0,0,0,0
"Lepidostomatidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptoceridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,293,0,0,0,0,0,0,0,0,64,149,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,221,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,78,64,127,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptophlebiidae",0,0,0,0,0,0,0,0,0,196,1321,2733,0,0,0,143,2,1,361,520,540,71,3890,1550,1091,1356,160,4,41,0,312,414,211,34,36,26,0,0,0,0,278,39,0,0,0,38,9,0,0,0,0,0,0,0,199,223,760,76,0,0,0,590,4,815,192,8,1,0,0,0,10,12,0,0,0,189,70,0,0,0,0,7,1222,1097,0,0,0,0,0,0,53,15,1,2874,1304,2964,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,46,0,56,0,0,0,60,11,0,318,799,7,0,3,16,0,0,0,0,0,0,235,448,1735,112,7,227,0,0,0,4,129,226,273,57,91,0,0,0,83,18,3,298,682,182,2,0,94,0,0,0,0,99,194,48,0,0,0,3,0,92,0,0,0,476,36,111,0,0,0,102,39,0
"Leuctridae",301,13,17,0,0,0,55,223,1102,0,0,0,0,0,0,0,0,0,29,53,162,1,8,0,0,0,0,12,4,0,46,97,10,0,0,0,0,0,0,1,2,22,0,0,0,32,66,15,0,0,0,10,7,9,74,62,79,0,392,556,137,220,0,181,380,11,118,19,343,330,0,0,1,0,344,0,0,0,327,120,157,10,28,2768,0,7,2,363,149,948,88,40,50,2,20,83,11,134,10,0,2,1,0,164,45,0,0,0,12,36,103,27,0,4,0,0,0,67,85,10,13,225,13,845,1289,3089,332,375,302,4,16,4,0,0,0,0,0,0,4553,3056,15537,146,527,84,95,1715,39,1572,1639,4288,48,304,224,0,0,0,0,0,0,0,0,0,0,394,159,79,97,1,40,109,211,131,451,515,497,289,139,215,4,2,7,941,5153,246
"Limnephilidae",0,0,0,0,0,0,0,0,0,1,2,69,125,2017,2014,15,26,65,1,10,25,0,0,0,4,128,10,0,0,0,84,77,22,208,164,4,0,0,0,0,0,0,3466,949,986,1,5,0,0,0,0,0,0,0,37,1,0,0,98,2,0,0,1,5,9,3,13,21,1,0,0,0,18987,23925,17027,11,62,2,0,0,0,0,0,0,0,0,0,241,269,219,494,591,79,5,1,29,1,6,0,1,2,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,98,148,0,0,0,0,2,10,0,0,0,2350,278,1756,1,103,7,22,19,1,1904,4930,3032,51,146,11,10,20,2,2,0,1,0,0,0,0,0,0,0,3,74,2,0,0,0,90,11,2,91,2,1,0,0,0,1,3,1
"Limoniidae",0,0,0,0,219,58,13,110,58,0,0,0,0,0,0,124,82,1570,4,262,676,3,200,0,6,37,5,63,186,145,2,7,0,445,519,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,66,56,106,158,40,0,32,0,4,0,0,0,0,0,0,62,216,13,20,0,1,0,4,0,0,0,0,0,0,0,0,0,0,66,246,0,0,0,49,306,28,0,0,0,1,0,2,19,0,42,163,0,13,0,0,0,13,466,39,0,0,0,348,48,18,6,1,0,0,0,0,60,64,38,2,0,6,3244,33,203,0,0,0,113,15,50,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,164,0,7,36,8,86,75,61,19,34,13,0,8,4,65,154,4,3,0,11,61,0,0,0,0,0,0,0
"Nemouridae",0,1,1,0,0,0,72,47,29,0,0,0,0,0,0,57,87,12,133,1483,658,2,2,0,109,15,5,51,279,2,1,182,8,0,1,2,4,2,0,0,265,259,1024,90933,1953,0,0,0,0,0,0,1,46,58,77,77,73,4,2,1,0,295,198,287,133,0,51,0,0,0,112,8,519,281,1478,0,0,0,0,24,2,2,29,2,0,0,0,311,91,120,220,0,35,0,2,7,0,12,8,14,271,235,24,40,297,0,0,0,3,0,1,1,0,28,0,0,0,164,90,0,655,203,468,305,535,312,32,125,30,12,0,8,501,310,423,0,3,1,127,161,252,150,432,190,149,341,157,344,51,4,66,134,183,1,0,1,83,18,3,0,0,0,0,377,870,220,23,2,8,180,373,282,9904,2242,561,77,526,23,0,0,0,215,0,8517
"Oligochaeta",6,2,0,0,0,0,169,16,26,204,1292,857,6,67,81,28,0,17,0,91,2,0,0,0,1158,31,0,47,967,28,4,15,30,19,190,3,53,6,40,0,0,0,753,287,461,38,10,173,406,77,113,2,2,9,10,1,0,59,0,0,0,0,0,0,0,0,0,258,101,75,27,23,0,0,0,522,317,44,84,50,106,0,0,0,71,305,84,5,0,14,2,0,11,1,1,0,2,3,265,0,0,0,31,7,47,700,584,809,33,78,62,1948,831,1585,0,0,0,230,126,0,59,5,31,5,14,0,14,25,87,5,78,83,14,105,130,137,22,0,0,13,29,0,0,0,179,61,207,0,0,0,90,189,64,32,6,0,38,0,7,22,126,8,600,35,93,146,36,20,5327,33,19,1,0,0,0,0,0,0,664,79,256,0,0,0
"Osmylidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perlidae",0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,35,47,0,0,0,0,0,0,0,0,0,0,0,0,320,26,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415,587,122,27,59,0,1,1,0,7,41,0,0,0,0,1302,307,1758,0,1556,1222,0,26,83,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1448,363,0,2,16,0,0,0,0,66,3,0,0,0,0,0,0,1086,0,1
"Perlodidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,10,15,0,0,0,0,0,0,0,0,0,0,0,0,9,571,36,21,328,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,3,0,397,1326,171,0,0,0,0,0,0,0,0,0,874,468,3116,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,59,0,0,0,0,0,0,773,446,162,0,0,0,0,0,0,0,0,0
"Philopotamidae",0,0,0,166,348,33,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,18,32,15,10,1,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,42,20,0,79,3,0,0,0,33,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,155,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,22,0,0,0,0,0,0,0,0,0,262,1,0,22,25,10,1,0,75,0,0,0,49,21,102,0,0,0,0,0,0,0,0,0,20,0,33,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,4,61,8,0,0,0,1,0,660
"Physidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psephenidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychodidae",0,0,0,0,0,0,11,4,0,57,109,126,0,0,0,0,0,0,20,23,2,0,0,0,6,0,102,2,37,0,73,28,3,25,1,43,69,3,4,0,17,54,3,3,1,0,0,0,0,0,0,358,26,2,47,102,66,29,0,0,0,5,49,0,0,0,0,0,0,0,50,54,40,209,1,2,5,9,0,2,2,0,0,0,0,0,0,0,0,0,3,1,37,0,2,4,1,26,0,0,0,0,11,15,27,0,50,1,0,0,0,32,678,10,0,0,0,0,0,0,33,84,6,316,86,5,0,0,0,51,1,0,2,25,1,0,0,0,11,0,12,0,68,104,135,0,14,0,0,0,13,37,2,24,4,0,0,0,0,0,13,17,1,11,14,0,105,153,44,20,8,15,4,0,2,122,112,235,0,0,0,0,0,0
"Rhagionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,0,0,0,3,1,0,0,0,0,0,0,0,0,3,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,21,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,166,18,20,452,0,0,0,7,45,5,0,0,0,8,1,7,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,120,799,333,0,0,0,0,0,0
"Rhyacophilidae",103,32,79,0,0,0,64,84,61,5,27,5,0,0,0,0,0,0,0,0,0,4,340,0,0,15,1,0,0,0,0,1,17,0,0,0,0,3,13,0,0,0,0,0,0,54,63,36,0,0,0,0,0,0,31,29,0,0,28,17,0,0,0,0,0,0,0,49,1,93,7,1,0,0,0,134,88,72,0,59,53,0,0,0,10,5,0,89,139,40,0,0,0,0,0,0,0,0,0,0,0,0,65,14,27,31,15,29,8,20,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,49,113,141,11,17,4,0,0,0,2,159,0,73,25,170,0,0,0,17,9,35,0,1,37,36,12,4,0,3,10,0,0,0,0,0,0,0,0,0,0,0,61,15,5,1,46,28,21,2,0,0,0,61,8,24,0,0,0
"Sciomyzidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scirtidae",0,0,0,0,0,0,0,0,0,19,2,3,0,0,0,218,529,1400,1,4,3,0,14,209,396,161,22,1,8,0,25,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,491,27,54,12,2,0,0,0,7,9,69,548,4,149,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,407,354,0,0,0,0,3,5,33,6,12,55,7,81,241,654,1458,43,59,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,75,22,0,0,0,0,0,0,0,0,0,15,1,95,9,1051,5,0,0,0,0,0,0,609,1781,734,0,0,0,0,0,0,0,0,0,15,1,12,0,0,0,0,0,0,0,1,45,0,9,1,38,0,0,0,236,0,167,0,0,0,0,0,0
"Sericostomatidae",0,0,0,57,45,0,102,5,0,0,0,0,0,0,0,12,16,0,4,83,1,0,0,0,13,73,0,19,32,2,25,4,0,91,650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,4692,601,32,0,2,8,0,0,0,25,5,89,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,1,114,20,0,0,0,0,532,331,734,234,78,899,603,646,0,0,0,4,0,1,1,0,8,0,0,0,0,0,0,0,0,0,1,102,0,0,0,0,0,0,0,268,10,17,152,75,1022,0,11,24,5,44,236,0,37,1,149,122,1,207,270,642,0,0,0,15,3,0,0,0,0,0,48,49,15,0,2,0,0,0,0,0,0,0,34,16,14,145,24,2166,35,132,14,234,0,25,0,0,0,0,0,0
"Sialidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,6,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simuliidae",13387,16439,16304,12,301,276,2068,1061,1961,3186,2331,3124,7,446,122,52,62,98,8,53,55,108,447,74,172,306,190,94455,638,20593,48,32,1,705,354,246,65716,120240,256,0,0,0,72,622,67,629,135,255,359,375,602,444,581,153,118,138,280,250,61,1111,1,199,58,298,737,9,349,9962,8515,10935,341,179,7608,5336,8058,70,100,159,7277,11046,14492,2,146,258,723,724,142,3630,5658,4834,28,1,1,90,46,465,120,154,24,35,36,189,440,119,199,2846,1502,1994,5646,4248,2793,2469,1764,2131,123,1,0,110,281,214,210,373,261,18,27,142,16637,25539,19338,8610,6234,4606,105,137,1514,1,227,0,294,302,737,0,9,5,34,13,300,186,158,181,20,257,448,256,49,37,69,11,4,22471,3272,2167,80014,28,4,27,27,166,234,299,689,1021,1256,458,134,262,496,1,67,32,88,51,283,212
"Siphlonuridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stratiomyidae",0,0,0,0,0,0,0,0,0,0,39,46,0,362,90,0,0,0,12,25,0,0,0,0,1,26,1,161,27,80,124,281,0,487,335,24,0,0,0,0,0,0,0,0,0,0,25,87,1464,334,453,0,0,0,147,428,1075,2,15,12,258,1216,0,290,0,0,0,0,0,0,37,0,0,0,0,172,217,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,70,0,0,0,65,42,12,0,0,0,0,0,0,79,310,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,245,0,21,19,96,30,0,0,0,124,52,0,0,0,0,0,0,0,295,5,36,0,0,0,0,57,0,40,0,0,0,13,13,3,0,0,0,0,0,0,0,0,0,0,0,0
"Syrphidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,17,0,25,0,0,0,0,0,0,0,0,0,0,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
